Timestamp,Label,EEG_1,EEG_2,EEG_3,EEG_4,EEG_5,EEG_6,EEG_7,EEG_8
304306.3601361001,No Event,-36682.765625,-25072.107421875,-26130.240234375,-10639.5419921875,-18518.107421875,-26261.04296875,-34193.40625,-33419.63671875
304306.3641361001,No Event,-36698.48046875,-25055.791015625,-25820.66796875,-10648.68359375,-18534.1328125,-26204.73828125,-34211.3125,-33435.99609375
304306.3681361001,No Event,-36714.91015625,-25062.85546875,-25474.103515625,-10654.9873046875,-18557.849609375,-26293.4296875,-34230.51171875,-33454.05859375
304306.371851,No Event,-36681.046875,-25078.0546875,-26115.48828125,-10648.7958984375,-18525.05859375,-26279.638671875,-34200.31640625,-33418.02734375
304306.37213610014,No Event,-36694.859375,-25073.11328125,-25711.078125,-10645.64453125,-18540.951171875,-26346.11328125,-34213.76953125,-33433.71875
304306.375851,No Event,-36698.45703125,-25065.40234375,-25907.705078125,-10661.916015625,-18538.9609375,-26209.029296875,-34218.0859375,-33438.5234375
304306.37985100003,No Event,-36704.1796875,-25052.505859375,-25500.189453125,-10650.4052734375,-18544.34765625,-26277.1796875,-34224.41015625,-33445.921875
304306.38385100005,No Event,-36698.81640625,-25068.978515625,-25635.86328125,-10651.4111328125,-18544.99609375,-26349.3984375,-34220.6328125,-33442.3671875
304306.38785100006,No Event,-36688.66796875,-25084.044921875,-26081.2890625,-10658.1162109375,-18534.0,-26300.873046875,-34207.9140625,-33433.2265625
304306.3918510001,No Event,-36700.08984375,-25071.50390625,-25991.591796875,-10661.0,-18536.369140625,-26214.88671875,-34214.5078125,-33443.88671875
304306.3958510001,No Event,-36715.2421875,-25061.8046875,-25545.7421875,-10656.9091796875,-18551.142578125,-26261.421875,-34228.43359375,-33459.109375
304306.3998510001,No Event,-36708.359375,-25072.82421875,-25569.27734375,-10655.0986328125,-18549.869140625,-26345.845703125,-34222.95703125,-33450.66015625
304306.4038510001,No Event,-36698.1875,-25093.455078125,-26025.298828125,-10669.515625,-18545.466796875,-26319.42578125,-34215.2890625,-33438.703125
304306.40536439995,No Event,-36715.109375,-25066.67578125,-25607.857421875,-10674.388671875,-18558.02734375,-26240.9921875,-34234.24609375,-33459.01953125
304306.40785100014,No Event,-36704.44921875,-25085.294921875,-26064.7265625,-10679.3955078125,-18549.890625,-26225.50390625,-34221.4375,-33445.69921875
304306.40936439997,No Event,-36703.57421875,-25066.744140625,-25520.126953125,-10665.1572265625,-18553.490234375,-26333.4609375,-34228.0546875,-33448.9375
