Timestamp,Label,EEG_1,EEG_2,EEG_3,EEG_4,EEG_5,EEG_6,EEG_7,EEG_8
304493.3105825,No Event,-35399.1953125,-23552.546875,-24189.86328125,-12049.0654296875,-17284.58203125,-24635.466796875,-32863.79296875,-32850.62890625
304493.3145825,No Event,-35382.87890625,-23560.7734375,-24717.609375,-12048.998046875,-17272.623046875,-24672.123046875,-32848.90625,-32833.39453125
304493.31858250004,No Event,-35430.109375,-23565.890625,-24672.861328125,-12104.7880859375,-17309.392578125,-24515.59375,-32892.3125,-32882.2109375
304493.32258250006,No Event,-35455.92578125,-23557.197265625,-24118.8515625,-12114.064453125,-17328.099609375,-24456.40625,-32915.42578125,-32907.890625
304493.32658250007,No Event,-35418.171875,-23552.8828125,-24117.77734375,-12074.412109375,-17298.73046875,-24613.763671875,-32877.73828125,-32868.30859375
304493.3305825001,No Event,-35382.9921875,-23549.75390625,-24641.234375,-12060.4873046875,-17272.69140625,-24680.326171875,-32843.296875,-32833.34765625
304493.3345825001,No Event,-35408.08984375,-23546.6015625,-24729.298828125,-12093.7021484375,-17294.416015625,-24533.900390625,-32868.6640625,-32856.640625
304493.3385825001,No Event,-35452.7734375,-23548.166015625,-24185.75,-12114.8916015625,-17324.412109375,-24437.318359375,-32908.16015625,-32899.93359375
304493.34258250013,No Event,-35423.1328125,-23544.052734375,-24051.4609375,-12071.193359375,-17303.916015625,-24574.55859375,-32878.87890625,-32870.2734375
304493.465536,No Event,-35394.03125,-23558.001953125,-24553.189453125,-12053.6923828125,-17285.587890625,-24694.005859375,-32854.515625,-32841.44140625
304493.469536,No Event,-35404.8046875,-23553.240234375,-24773.6015625,-12066.96875,-17286.59375,-24580.525390625,-32864.86328125,-32855.07421875
304493.473536,No Event,-35447.56640625,-23548.748046875,-24271.9609375,-12091.712890625,-17316.03125,-24442.99609375,-32904.00390625,-32901.85546875
304493.477536,No Event,-35429.1484375,-23549.775390625,-24008.03125,-12075.171875,-17305.591796875,-24548.16015625,-32888.15625,-32886.0546875
304493.48153600004,No Event,-35393.16015625,-23559.923828125,-24453.1875,-12051.7255859375,-17283.12890625,-24692.44140625,-32856.1015625,-32852.70703125
304493.48553600005,No Event,-35391.10546875,-23554.513671875,-24792.263671875,-12055.9052734375,-17286.5703125,-24611.05859375,-32856.3046875,-32852.34765625
304493.48953600007,No Event,-35440.63671875,-23551.609375,-24374.509765625,-12097.8818359375,-17319.115234375,-24445.09765625,-32899.7109375,-32901.12109375
304493.4911564,No Event,-35431.44921875,-23546.35546875,-24478.37890625,-12075.6640625,-17311.984375,-24462.44140625,-32889.5625,-32893.33984375
304493.4935360001,No Event,-35441.37109375,-23554.021484375,-24000.990234375,-12087.0185546875,-17314.3984375,-24511.458984375,-32898.39453125,-32900.24609375
304493.4951564,No Event,-35431.2265625,-23538.46484375,-24010.1328125,-12058.2744140625,-17307.26953125,-24477.775390625,-32888.9609375,-32891.91015625
304493.4975360001,No Event,-35392.9609375,-23552.63671875,-24363.087890625,-12045.376953125,-17277.2734375,-24674.73828125,-32852.6171875,-32852.83984375
304493.49915640004,No Event,-35390.8359375,-23543.740234375,-24259.01953125,-12026.9375,-17275.23828125,-24646.93359375,-32850.58203125,-32850.71484375
304493.5015360001,No Event,-35387.23828125,-23551.564453125,-24788.28515625,-12048.6630859375,-17277.80859375,-24635.466796875,-32847.453125,-32848.8828125
304493.50315640005,No Event,-35379.63671875,-23549.5078125,-24754.1328125,-12030.87109375,-17270.25390625,-24652.587890625,-32842.42578125,-32840.58984375
304493.50715640007,No Event,-35431.671875,-23556.078125,-24586.76171875,-12073.7197265625,-17311.001953125,-24488.884765625,-32892.69140625,-32895.30859375
304493.5111564001,No Event,-35457.734375,-23561.107421875,-24066.435546875,-12075.7314453125,-17321.26171875,-24469.482421875,-32914.9765625,-32923.44921875
304493.5151564001,No Event,-35406.1484375,-23553.0390625,-24193.4609375,-12030.0439453125,-17285.029296875,-24634.08203125,-32866.65234375,-32868.328125
304493.5191564001,No Event,-35385.5390625,-23557.30859375,-24712.669921875,-12033.44140625,-17283.0390625,-24674.650390625,-32850.9609375,-32844.5234375
304493.52315640013,No Event,-35415.87109375,-23549.529296875,-24671.7890625,-12058.0283203125,-17310.888671875,-24512.130859375,-32878.3203125,-32877.2265625
304493.52715640015,No Event,-35445.28515625,-23547.47265625,-24116.9296875,-12067.9970703125,-17330.044921875,-24436.537109375,-32905.6328125,-32906.21484375
304493.5285055,No Event,-35410.99609375,-23550.9609375,-24110.06640625,-12023.875,-17301.92578125,-24591.45703125,-32873.6953125,-32868.73046875
304493.5325055,No Event,-35387.7734375,-23563.96875,-24633.365234375,-12015.626953125,-17295.01953125,-24676.4375,-32853.80078125,-32845.93359375
304493.53650550003,No Event,-35419.9375,-23568.908203125,-24747.78515625,-12040.37109375,-17315.515625,-24548.1171875,-32880.3984375,-32879.125
304493.54050550004,No Event,-35446.73828125,-23558.314453125,-24206.134765625,-12050.943359375,-17327.720703125,-24431.037109375,-32905.9921875,-32906.26171875
304493.54450550006,No Event,-35425.75,-23566.5390625,-24059.306640625,-12022.4892578125,-17309.392578125,-24567.16015625,-32887.53125,-32886.97265625
304493.5485055001,No Event,-35384.53125,-23567.41015625,-24551.759765625,-11990.5263671875,-17285.05078125,-24688.150390625,-32851.54296875,-32849.7109375
304493.5525055001,No Event,-35398.390625,-23564.638671875,-24784.978515625,-12008.474609375,-17300.048828125,-24578.291015625,-32864.55078125,-32866.609375
